"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.706219200E-2,1.468594968E-1,-7.776673418E-3,9.816853523E0
2.954203600E-2,2.090728730E-1,-1.016949583E-2,9.431609154E0
3.202245300E-2,2.784647346E-1,-4.396811500E-2,9.242277145E0
3.450260900E-2,2.784647346E-1,-6.789634377E-2,9.239884377E0
3.698229700E-2,2.258226424E-1,-7.507480681E-2,9.426823616E0
3.946099400E-2,2.042872310E-1,-6.071787328E-2,9.661320686E0
4.194016100E-2,1.516451389E-1,-6.550352275E-2,9.893723488E0
4.441964000E-2,8.225327730E-2,-6.311069429E-2,1.003011417E1
4.689943200E-2,6.550352275E-2,-4.396811500E-2,1.011625576E1
4.937922400E-2,6.550352275E-2,-5.114658549E-2,1.015454102E1
5.185917200E-2,1.525424421E-2,-3.170489892E-2,1.008275604E1
5.433911900E-2,6.071787328E-2,-2.691925503E-2,9.884152412E0
5.681859900E-2,1.205384433E-1,-1.734796353E-2,9.680462837E0
5.929807800E-2,1.109671518E-1,8.973085321E-3,9.524930000E0
6.178083800E-2,1.013958603E-1,6.580262445E-3,9.558428764E0
6.426052600E-2,1.372881979E-1,-4.396811500E-2,9.699605942E0
6.673938000E-2,1.037886813E-1,-3.888336942E-2,9.840782166E0
6.926823400E-2,1.229312643E-1,-2.691925503E-2,9.845867157E0
7.180266100E-2,1.444666684E-1,-4.636093974E-2,9.862616539E0
7.430760900E-2,1.133599728E-1,-1.734796353E-2,9.891330719E0
7.679229700E-2,1.396810263E-1,-1.256231871E-2,1.001097202E1
7.927693200E-2,1.396810263E-1,4.187439568E-3,1.003729248E1
8.176172400E-2,1.205384433E-1,1.136590727E-2,9.924830437E0
8.424651500E-2,1.755733639E-1,3.768695518E-2,9.728319168E0
8.673135900E-2,1.707877219E-1,1.375873014E-2,9.634999275E0
8.921630700E-2,1.205384433E-1,3.050848842E-2,9.692427635E0
9.170130700E-2,1.109671518E-1,3.529413417E-2,9.843174934E0
9.418646300E-2,1.085743308E-1,3.050848842E-2,9.862616539E0
9.667167200E-2,7.268198580E-2,5.922235921E-2,9.812067986E0
9.915938000E-2,8.703892678E-2,4.007977992E-2,9.768997192E0
1.016422440E-1,9.421738982E-2,2.811566554E-2,9.824032784E0
1.041275050E-1,6.550352275E-2,1.615155302E-2,9.941579819E0
1.066127650E-1,8.703892678E-2,-7.776673418E-3,9.960722923E0
1.090980260E-1,1.157527938E-1,-2.452643216E-2,9.840782166E0
1.115832860E-1,1.133599728E-1,-1.256231871E-2,9.709177017E0
1.140685470E-1,1.348953694E-1,-1.734796353E-2,9.675677299E0
1.165538070E-1,1.348953694E-1,-5.114658549E-2,9.783354759E0
1.190390670E-1,8.943174779E-2,-5.353940651E-2,9.872187614E0
1.215243800E-1,1.061815023E-1,-6.311069429E-2,9.838389397E0
1.240095880E-1,1.348953694E-1,-5.832505226E-2,9.754640579E0
1.264949010E-1,1.205384433E-1,-4.636093974E-2,9.730711937E0
1.289801610E-1,1.253240854E-1,-5.832505226E-2,9.814460754E0
1.314654220E-1,1.229312643E-1,-7.507480681E-2,9.888937950E0
1.339506820E-1,1.013958603E-1,-4.636093974E-2,9.893723488E0
1.364359420E-1,1.396810263E-1,-3.888336942E-2,9.800104141E0
1.389212030E-1,1.683948934E-1,-4.396811500E-2,9.721140862E0
1.414064630E-1,1.205384433E-1,-2.452643216E-2,9.716355324E0
1.438917240E-1,1.157527938E-1,-1.495514158E-2,9.814460754E0
1.463770360E-1,1.301097274E-1,-3.649054468E-2,9.857831001E0
1.488622970E-1,1.181456149E-1,6.580262445E-3,9.824032784E0
1.513475570E-1,1.325025558E-1,1.615155302E-2,9.773782730E0
1.538328170E-1,1.564307809E-1,-5.383851007E-3,9.788140297E0
