"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.085680260E-1,-5.192201585E-3,-1.565296017E-2,3.817795368E-4
1.110532860E-1,-3.970507067E-3,-1.687465608E-2,-2.290677221E-4
1.135385470E-1,-5.192201585E-3,-1.320957206E-2,3.817795368E-4
1.160238070E-1,-8.246437646E-3,-6.490251981E-3,-8.399150101E-4
1.185090670E-1,-7.024743594E-3,-4.657710437E-3,9.926267667E-4
1.209943800E-1,-3.970507067E-3,-4.657710437E-3,-1.450762269E-3
1.234795880E-1,-1.527118147E-3,-2.214321401E-3,3.817795368E-4
1.259649010E-1,3.054236295E-4,2.672456671E-3,-8.399150101E-4
1.284501610E-1,-1.527118147E-3,3.894151188E-3,3.817795368E-4
1.309354220E-1,9.162708884E-4,5.115845706E-3,3.817795368E-4
1.334206820E-1,2.748812549E-3,8.399150101E-4,1.603474026E-3
1.359059420E-1,3.359660041E-3,-1.603474026E-3,9.926267667E-4
1.383912030E-1,1.527118147E-3,-1.603474026E-3,9.926267667E-4
1.408764630E-1,-3.054236295E-4,2.290677221E-4,3.436015919E-3
1.433617240E-1,-3.359660041E-3,-1.603474026E-3,-2.290677221E-4
1.458470360E-1,-2.137965523E-3,-2.214321401E-3,1.603474026E-3
1.483322970E-1,-2.137965523E-3,-3.436015919E-3,9.926267667E-4
1.508175570E-1,-2.748812549E-3,-3.436015919E-3,-2.290677221E-4
1.533028170E-1,-2.748812549E-3,2.290677221E-4,3.817795368E-4
1.557880780E-1,-2.748812549E-3,-9.926267667E-4,3.817795368E-4
1.582733380E-1,-9.162708884E-4,2.290677221E-4,3.817795368E-4
1.607585990E-1,-9.162708884E-4,-3.817795368E-4,1.603474026E-3
1.632438590E-1,3.054236295E-4,-1.603474026E-3,2.214321401E-3
1.657291190E-1,1.527118147E-3,2.290677221E-4,-2.290677221E-4
1.682143800E-1,1.527118147E-3,1.450762269E-3,-2.290677221E-4
1.706996920E-1,3.054236295E-4,-3.817795368E-4,-8.399150101E-4
1.731849530E-1,-9.162708884E-4,2.290677221E-4,3.817795368E-4
1.756702130E-1,3.054236295E-4,-9.926267667E-4,-8.399150101E-4
1.781554740E-1,-3.054236295E-4,-1.603474026E-3,-2.290677221E-4
1.806407340E-1,-9.162708884E-4,2.290677221E-4,2.825168660E-3
1.831259940E-1,-2.748812549E-3,-9.926267667E-4,2.825168660E-3
1.856112550E-1,-2.137965523E-3,-2.825168660E-3,-2.290677221E-4
1.880965150E-1,-3.054236295E-4,-2.214321401E-3,-2.290677221E-4
1.905817760E-1,-1.527118147E-3,-4.046862945E-3,9.926267667E-4
1.930670360E-1,-1.527118147E-3,-4.046862945E-3,2.214321401E-3
1.955523490E-1,-2.137965523E-3,-3.436015919E-3,-2.290677221E-4
1.980376090E-1,-9.162708884E-4,-4.046862945E-3,-2.290677221E-4
2.005228690E-1,3.054236295E-4,-2.825168660E-3,9.926267667E-4
